"기업명","경력","직무","질문"
"현대모비스㈜","신입","일반면접","의견 불일치 시 해결은 어떻게 하는가?"
"현대모비스㈜","신입","일반면접","인생에서 겪은 실패 경험은 무엇인가?"
"현대모비스㈜","신입","일반면접","자기소개를 포함한 면접관에게 어필하고 싶은 이야기가 있다면 해달라"
"현대모비스㈜","신입","일반면접","자신이 바라는 회사의 모습은 무엇인지 설명해달라."
"현대모비스㈜","신입","일반면접","좌우명은 무엇인가?"
"현대모비스㈜","신입","일반면접","지원한 직무를 선택한 이유는 무엇인가?"
"현대모비스㈜","신입","일반면접","팀프로젝트를 하면서 갈등을 다뤄본적이 있는가?"
"현대모비스㈜","신입","일반면접","합격한 다른 회사가 있는가?"
"현대모비스㈜","신입","일반면접","현대모비스에서 어떤 자동차 부품을 만들고 싶은가?"
"현대모비스㈜","신입","인성면접 - 플랜트 운영","동아리 활동을 하면서 어려운 점이 있었는가?"
"현대모비스㈜","신입","인성면접 - 플랜트 운영","마지막으로 하고 싶은 말은?"
"현대모비스㈜","신입","인성면접 - 플랜트 운영","모 자동차 회사는 몇 주년을 기념하기 위해 자동차 박물관을 설립하는데 세부 계획을 정하라."
"현대모비스㈜","신입","인성면접 - 플랜트 운영","식스 시그마란 무엇인지 설명할 수 있는가?"
"현대모비스㈜","신입","인성면접 - 플랜트운영","뒤집어져 있는 3개의 종이를 선택 후(저의 경우 자동차 바퀴) 이것을 다른 용도로 어떻게 사용할 수 있을까?"
"현대모비스㈜","신입","임원면접 - 기계","정규직 고용에 대해 고용자와 피고용자 각각의 입장에서 논해보시오."
"현대모비스㈜","신입","임원면접 - 기계","정규직 고용에 대해 고용자와 피고용자의 입장에 대한 본인의 의견을 말해보시오"
"현대모비스㈜","신입","임원면접 - 기계","정규직 고용에 대해 고용자와 피고용자의 입장에서 본인의 의견을 말해보시오"
"현대모비스㈜","신입","일반면접 - 기술개발","본인이 무언가 결정을 할 때 가장 영향을 미치는 것은 무엇인가요?"
"현대모비스㈜","신입","일반면접 - 기술개발","본인이 무언가 결정하려고 할 때 결정에 가장 영향을 미치는 요인은 무엇인가요?"
"현대모비스㈜","신입","일반면접 - 기술개발","본인이 뭔가를 결정 할때 가장 영향을 미치는 것은 무엇입니까?"
"현대모비스㈜","신입","임원면접 - R&D(연구개발)","휴학한 이유가 무엇입니까?"
"현대모비스㈜","신입","일반면접 - R&D","휴학한 이유는 무엇인가요?"
"현대모비스㈜","신입","인성면접 - 구매","자살률이 증가하는 이유를 사회적인 가치와 연결지어 설명하고 이에 따른 해결책을 제시하시오."
"현대모비스㈜","신입","인성면접 - 구매","지원한 직무가 무엇을 하는것인지 알고있는가?"
"현대모비스㈜","신입","토론면접","다른 부서에 배치되어도 일할 의향이 있는가?"
"현대모비스㈜","신입","토론면접","미국엔 왜 있었나? 영어를 잘하나?"
"현대모비스㈜","신입","토론면접","영어 실력을 어떻게 유지했나?"
"현대모비스㈜","신입","토론면접","영어를 배운 적 있나?"
"현대모비스㈜","신입","토론면접","제2외국어 수준이 어느정도인가?"
"현대모비스㈜","신입","토론면접","현대모비스가 다른 나라에서 어떤 새로운 사업을 할 수 있겠는가? 예상 기간과 예상 금액도 같이 말해보라"
"현대모비스㈜","신입","토론면접","현대모비스는 전기차 사업을 해야 하는가?"
"현대모비스㈜","신입","토론면접","현대모비스에 지원한 동기는?"
"현대모비스㈜","신입","임원면접","당장출근가능한가?"
"현대모비스㈜","신입","임원면접","본인의 단점은?"
"현대모비스㈜","신입","임원면접","술은잘마시는편인가?"
"현대모비스㈜","신입","임원면접","우리회사가 하는일은 무엇인가?"
"현대모비스㈜","신입","임원면접","자신을 어필할 수 있는 마지막으로 하고싶은말은?"
"현대모비스㈜","신입","인성면접 - 재경","다른 사람을 설득해 본 경험이 있는가?"
"현대모비스㈜","신입","인성면접 - 재경","마지막으로 하고 싶은 말 있으면 각각 30초씩 하라."
"현대모비스㈜","신입","인성면접 - 재경","상사가 법적으로 명백한 부당행위를 지시한다면 어떻게 하겠는가?"
